ident,gtdb_representative,superkingdom,phylum,class,order,family,genus,species
GCA_025061115.1,t,d__Archaea,p__Thermoproteota,c__Methanomethylicia,o__Culexarchaeales,f__Culexmicrobiaceae,g__Culexmicrobium,s__Culexmicrobium cathedralense
GCA_027051275.1,f,d__Archaea,p__EX4484-52,c__EX4484-52,o__EX4484-52,f__JAADEF01,g__WAOB01,s__WAOB01 sp015521505
GCA_002497985.1,t,d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassarchaeaceae,g__MGIIb-O5,s__MGIIb-O5 sp002497985
GCF_001560275.1,f,d__Archaea,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Sulfolobaceae,g__Sulfolobus,s__Sulfolobus acidocaldarius
GCA_027057815.1,t,d__Archaea,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Acidilobaceae,g__JALURD01,s__JALURD01 sp027057815
GCA_018813725.1,t,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__JAHJBD01,g__JAHJBD01,s__JAHJBD01 sp018813725
GCA_027315945.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__UBA184,f__UBA184,g__JAKIVR01,s__JAKIVR01 sp021828665
GCA_028279725.1,t,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__JANQNQ01,g__JANQNQ01,s__JANQNQ01 sp028279725
GCA_030651635.1,f,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__UBA349,s__UBA349 sp002509745
GCF_014647095.1,f,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula argentinensis
GCA_012521495.1,f,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanoculleaceae,g__Methanoculleus,s__Methanoculleus thermohydrogenotrophicum
GCA_902757685.1,f,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter_A,s__Methanobrevibacter_A sp900320515
GCF_902791535.1,f,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter_A,s__Methanobrevibacter_A sp900314695
GCA_002497395.1,f,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobacterium_C,s__Methanobacterium_C sp002498385
GCA_027373635.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__GCA-001856825,g__GCA-001856825,s__GCA-001856825 sp001856825
